CampaignNum,SPpairs,Constituent
1,0.4870545269067415,NPOC..mg.C.L.
2,0.4982907834992432,NPOC..mg.C.L.
3,0.4211038398197105,NPOC..mg.C.L.
4,0.5063561384442029,NPOC..mg.C.L.
5,0.5309890919516472,NPOC..mg.C.L.
6,0.4996116174715464,NPOC..mg.C.L.
7,0.5116138044152259,NPOC..mg.C.L.
8,0.4771019329115021,NPOC..mg.C.L.
9,0.4802740013735073,NPOC..mg.C.L.
10,0.495999326581367,NPOC..mg.C.L.
11,0.5525233196204853,NPOC..mg.C.L.
12,0.4292752081930378,NPOC..mg.C.L.
13,0.48923763676732385,NPOC..mg.C.L.
14,0.41131493322487517,NPOC..mg.C.L.
15,0.48931297964408826,NPOC..mg.C.L.
16,0.4782925837272721,NPOC..mg.C.L.
17,0.3437917136170582,NPOC..mg.C.L.
18,0.5260147952073929,NPOC..mg.C.L.
19,0.47213680399517277,NPOC..mg.C.L.
20,0.49650555737060026,NPOC..mg.C.L.
21,0.5005017302191611,NPOC..mg.C.L.
22,0.5099954327548156,NPOC..mg.C.L.
23,0.4496812929637754,NPOC..mg.C.L.
24,0.46611870836972685,NPOC..mg.C.L.
25,0.5458596422213481,NPOC..mg.C.L.
26,0.41148945533100856,NPOC..mg.C.L.
27,0.45451240490462125,NPOC..mg.C.L.
28,0.4805598709169828,NPOC..mg.C.L.
29,0.4139190964188797,NPOC..mg.C.L.
30,0.5122358832118735,NPOC..mg.C.L.
31,0.48077606496822933,NPOC..mg.C.L.
32,0.49409508537748115,NPOC..mg.C.L.
33,0.49671941779292045,NPOC..mg.C.L.
34,0.5257329261706483,NPOC..mg.C.L.
35,0.5044457297924404,NPOC..mg.C.L.
36,0.44362719277775187,NPOC..mg.C.L.
37,0.4651717550889779,NPOC..mg.C.L.
38,0.5422993579186697,NPOC..mg.C.L.
39,0.47078579953460775,NPOC..mg.C.L.
40,0.4360787366399744,NPOC..mg.C.L.
41,0.4073817683573253,NPOC..mg.C.L.
42,0.4047501016795461,NPOC..mg.C.L.
43,0.4586049232902834,NPOC..mg.C.L.
44,0.4860972389836046,NPOC..mg.C.L.
45,0.5099954327548156,NPOC..mg.C.L.
46,0.48670414919223104,NPOC..mg.C.L.
47,0.5258561084404024,NPOC..mg.C.L.
48,0.44675125515898684,NPOC..mg.C.L.
49,0.47254085517498884,NPOC..mg.C.L.
50,0.5201253825484561,NPOC..mg.C.L.
51,0.5127567825257866,NPOC..mg.C.L.
52,0.524298911195418,NPOC..mg.C.L.
53,0.5334377354464899,NPOC..mg.C.L.
54,0.42827891532927503,NPOC..mg.C.L.
55,0.510766363739407,NPOC..mg.C.L.
56,0.5148817183509911,NPOC..mg.C.L.
57,0.47348497476347007,NPOC..mg.C.L.
58,0.48791880304838614,NPOC..mg.C.L.
59,0.5025339876384342,NPOC..mg.C.L.
60,0.47315026570032204,NPOC..mg.C.L.
1,0.14873917362865963,TDN..mg.N.L.
2,0.14925940619145092,TDN..mg.N.L.
3,0.12643418166301065,TDN..mg.N.L.
4,0.11256025763263347,TDN..mg.N.L.
5,0.09243587521086004,TDN..mg.N.L.
6,0.09382971843100125,TDN..mg.N.L.
7,0.0914012441575933,TDN..mg.N.L.
8,0.11624389089284642,TDN..mg.N.L.
9,0.11293363826084638,TDN..mg.N.L.
10,0.11485388149165561,TDN..mg.N.L.
11,0.10795250731759357,TDN..mg.N.L.
12,0.10147185310139284,TDN..mg.N.L.
13,0.08128912995646115,TDN..mg.N.L.
14,0.09738283515912016,TDN..mg.N.L.
15,0.12425490562137871,TDN..mg.N.L.
16,0.12066995152719344,TDN..mg.N.L.
17,0.10083593921896773,TDN..mg.N.L.
18,0.10180439522339496,TDN..mg.N.L.
19,0.09332398770510932,TDN..mg.N.L.
20,0.12400554070182222,TDN..mg.N.L.
21,0.10021002660336975,TDN..mg.N.L.
22,0.09997349664290811,TDN..mg.N.L.
23,0.10962305225328542,TDN..mg.N.L.
24,0.12141787959808244,TDN..mg.N.L.
25,0.08936031897373667,TDN..mg.N.L.
26,0.1115096245524433,TDN..mg.N.L.
27,0.11387375734259672,TDN..mg.N.L.
28,0.0955797734379688,TDN..mg.N.L.
29,0.10861992519052413,TDN..mg.N.L.
30,0.09860415652649335,TDN..mg.N.L.
31,0.10439705696054834,TDN..mg.N.L.
32,0.10880011468119295,TDN..mg.N.L.
33,0.10333908961801828,TDN..mg.N.L.
34,0.11970732959508204,TDN..mg.N.L.
35,0.1406641507924337,TDN..mg.N.L.
36,0.17320210560004265,TDN..mg.N.L.
37,0.1357987011688147,TDN..mg.N.L.
38,0.1596953947500017,TDN..mg.N.L.
39,0.13604089851381176,TDN..mg.N.L.
40,0.1185286802995046,TDN..mg.N.L.
41,0.10061024396423547,TDN..mg.N.L.
42,0.08217390869510138,TDN..mg.N.L.
43,0.08481724351751221,TDN..mg.N.L.
44,0.08618391662943972,TDN..mg.N.L.
45,0.0979310712690274,TDN..mg.N.L.
46,0.0959929924457098,TDN..mg.N.L.
47,0.10861992519052413,TDN..mg.N.L.
48,0.1209183163200672,TDN..mg.N.L.
49,0.11610203959168161,TDN..mg.N.L.
50,0.10540801834899088,TDN..mg.N.L.
51,0.10141517925603909,TDN..mg.N.L.
52,0.08249611617471546,TDN..mg.N.L.
53,0.13604089851381176,TDN..mg.N.L.
54,0.1260364646188517,TDN..mg.N.L.
55,0.13449770304238537,TDN..mg.N.L.
56,0.13188253845487094,TDN..mg.N.L.
57,0.13291450250365047,TDN..mg.N.L.
58,0.11575399550609744,TDN..mg.N.L.
59,0.11268594021909442,TDN..mg.N.L.
60,0.10257532620798634,TDN..mg.N.L.
