Constituent,predID,CampaignNum,Conc,Day,DOY
NPOC..mg.C.L.,P1,1,0.3978769004553421,15,15
NPOC..mg.C.L.,P1,2,0.15328727717658908,45.44,45.44
NPOC..mg.C.L.,P1,3,0.30595738679458473,75.88,75.88
NPOC..mg.C.L.,P1,4,0.282621209851781,106.32000000000001,106.32000000000001
NPOC..mg.C.L.,P1,5,1.1290883880935978,136.76,136.76
NPOC..mg.C.L.,P1,6,1.7079715239717763,167.20000000000002,167.20000000000002
NPOC..mg.C.L.,P1,7,4.208363709295352,197.64000000000001,197.64000000000001
NPOC..mg.C.L.,P1,8,8.71824750449621,228.08,228.08
NPOC..mg.C.L.,P1,9,3.9477498249799403,258.52,258.52
NPOC..mg.C.L.,P1,10,1.371363406989573,288.96000000000004,288.96000000000004
NPOC..mg.C.L.,P1,11,1.9263483677074855,319.40000000000003,319.40000000000003
NPOC..mg.C.L.,P1,12,0.3243801820409193,349.84000000000003,349.84000000000003
NPOC..mg.C.L.,P1,13,0.12651510987065426,380.28000000000003,15.03000000000003
NPOC..mg.C.L.,P1,14,0.08472268984127279,410.72,45.47000000000003
NPOC..mg.C.L.,P1,15,0.22248405925075057,441.16,75.910000000000025
NPOC..mg.C.L.,P1,16,0.25959512096590626,471.6,106.35000000000002
NPOC..mg.C.L.,P1,17,0.5921277575904657,502.04,136.79000000000002
NPOC..mg.C.L.,P1,18,1.3992630779471673,532.48,167.23000000000002
NPOC..mg.C.L.,P1,19,2.4144873945088086,562.9200000000001,197.67000000000007
NPOC..mg.C.L.,P1,20,5.706060522924772,593.36,228.11
NPOC..mg.C.L.,P1,21,3.082797749738375,623.8000000000001,258.55000000000007
NPOC..mg.C.L.,P1,22,3.2234082445786854,654.24,288.99
NPOC..mg.C.L.,P1,23,0.660360293604351,684.6800000000001,319.43000000000006
NPOC..mg.C.L.,P1,24,0.4992490935929991,715.12,349.87
NPOC..mg.C.L.,P1,25,0.25514964740505597,745.5600000000001,15.06000000000006
NPOC..mg.C.L.,P1,26,0.07255204508230448,776,45.5
NPOC..mg.C.L.,P1,27,0.1638780552058601,806.44,75.94000000000005
NPOC..mg.C.L.,P1,28,0.4270197874146915,836.88,106.38
NPOC..mg.C.L.,P1,29,1.5861888536367068,867.32,136.82000000000005
NPOC..mg.C.L.,P1,30,3.776285977331128,897.76,167.26
NPOC..mg.C.L.,P1,31,6.078360654004148,928.2,197.70000000000005
NPOC..mg.C.L.,P1,32,4.3055977956931235,958.64,228.14
NPOC..mg.C.L.,P1,33,7.208710044456893,989.08,258.58000000000004
NPOC..mg.C.L.,P1,34,3.166830788847696,1019.5200000000001,289.0200000000001
NPOC..mg.C.L.,P1,35,0.7636731246878584,1049.96,319.46000000000004
NPOC..mg.C.L.,P1,36,0.3158915845370456,1080.4,349.9000000000001
NPOC..mg.C.L.,P1,37,0.2664356498344842,1110.8400000000001,15.090000000000146
NPOC..mg.C.L.,P1,38,0.12994232499442154,1141.28,45.52999999999997
NPOC..mg.C.L.,P1,39,0.2682812669548629,1171.72,75.97000000000003
NPOC..mg.C.L.,P1,40,0.3379053042888103,1202.16,106.41000000000008
NPOC..mg.C.L.,P1,41,1.4813097481853006,1232.6000000000001,136.85000000000014
NPOC..mg.C.L.,P1,42,1.621365265281084,1263.04,167.28999999999996
NPOC..mg.C.L.,P1,43,5.312653068517502,1293.48,197.73000000000002
NPOC..mg.C.L.,P1,44,6.001830597954365,1323.92,228.17000000000007
NPOC..mg.C.L.,P1,45,5.06130551577811,1354.3600000000001,258.6100000000001
NPOC..mg.C.L.,P1,46,0.6986358528131323,1384.8,289.04999999999995
NPOC..mg.C.L.,P1,47,1.1450390224378224,1415.24,319.49
NPOC..mg.C.L.,P1,48,0.4838805149106577,1445.68,349.93000000000006
NPOC..mg.C.L.,P1,49,0.14405362762059523,1476.1200000000001,15.120000000000118
NPOC..mg.C.L.,P1,50,0.09624197404590693,1506.5600000000002,45.56000000000017
NPOC..mg.C.L.,P1,51,0.09726897079480493,1537,76
NPOC..mg.C.L.,P1,52,0.45139242754124015,1567.44,106.44000000000005
NPOC..mg.C.L.,P1,53,0.9066916527803013,1597.88,136.8800000000001
NPOC..mg.C.L.,P1,54,4.112297440305463,1628.3200000000002,167.32000000000016
NPOC..mg.C.L.,P1,55,3.121050711753434,1658.76,197.76
NPOC..mg.C.L.,P1,56,7.412443108080001,1689.2,228.20000000000005
NPOC..mg.C.L.,P1,57,4.629673281505602,1719.64,258.6400000000001
NPOC..mg.C.L.,P1,58,4.275606624019513,1750.0800000000002,289.08000000000015
NPOC..mg.C.L.,P1,59,1.3487023705634797,1780.52,319.52
NPOC..mg.C.L.,P1,60,0.40172276448111816,1810.96,349.96000000000004
NPOC..mg.C.L.,P2,1,0.24304989812739622,15,15
NPOC..mg.C.L.,P2,2,0.12708309519834207,45.44,45.44
NPOC..mg.C.L.,P2,3,0.26703011426650286,75.88,75.88
NPOC..mg.C.L.,P2,4,0.3003811582747937,106.32000000000001,106.32000000000001
NPOC..mg.C.L.,P2,5,0.7056034495969675,136.76,136.76
NPOC..mg.C.L.,P2,6,2.6779254834852497,167.20000000000002,167.20000000000002
NPOC..mg.C.L.,P2,7,4.354504948267003,197.64000000000001,197.64000000000001
NPOC..mg.C.L.,P2,8,5.833498038818699,228.08,228.08
NPOC..mg.C.L.,P2,9,3.849686612012279,258.52,258.52
NPOC..mg.C.L.,P2,10,1.2303260686530473,288.96000000000004,288.96000000000004
NPOC..mg.C.L.,P2,11,0.7936827687378993,319.40000000000003,319.40000000000003
NPOC..mg.C.L.,P2,12,0.22298381043813467,349.84000000000003,349.84000000000003
NPOC..mg.C.L.,P2,13,0.08137501901997064,380.28000000000003,15.03000000000003
NPOC..mg.C.L.,P2,14,0.11293446744955316,410.72,45.47000000000003
NPOC..mg.C.L.,P2,15,0.19979380511368222,441.16,75.910000000000025
NPOC..mg.C.L.,P2,16,0.25374657438830506,471.6,106.35000000000002
NPOC..mg.C.L.,P2,17,0.4813626174047617,502.04,136.79000000000002
NPOC..mg.C.L.,P2,18,1.1633905955395174,532.48,167.23000000000002
NPOC..mg.C.L.,P2,19,2.220210672030812,562.9200000000001,197.67000000000007
NPOC..mg.C.L.,P2,20,4.230324765127625,593.36,228.11
NPOC..mg.C.L.,P2,21,1.3718702367831952,623.8000000000001,258.55000000000007
NPOC..mg.C.L.,P2,22,3.493383713608883,654.24,288.99
NPOC..mg.C.L.,P2,23,0.2869063715500559,684.6800000000001,319.43000000000006
NPOC..mg.C.L.,P2,24,0.2138638216217158,715.12,349.87
NPOC..mg.C.L.,P2,25,0.29342599616070686,745.5600000000001,15.06000000000006
NPOC..mg.C.L.,P2,26,0.07936531892355055,776,45.5
NPOC..mg.C.L.,P2,27,0.23436617872081222,806.44,75.94000000000005
NPOC..mg.C.L.,P2,28,0.3812009911825439,836.88,106.38
NPOC..mg.C.L.,P2,29,1.056430596914694,867.32,136.82000000000005
NPOC..mg.C.L.,P2,30,1.5925094901121428,897.76,167.26
NPOC..mg.C.L.,P2,31,4.559183459177238,928.2,197.70000000000005
NPOC..mg.C.L.,P2,32,4.2056741532642326,958.64,228.14
NPOC..mg.C.L.,P2,33,4.005573513204795,989.08,258.58000000000004
NPOC..mg.C.L.,P2,34,2.5780838737080214,1019.5200000000001,289.0200000000001
NPOC..mg.C.L.,P2,35,0.9637822391761058,1049.96,319.46000000000004
NPOC..mg.C.L.,P2,36,0.24312189288655958,1080.4,349.9000000000001
NPOC..mg.C.L.,P2,37,0.1503849657783064,1110.8400000000001,15.090000000000146
NPOC..mg.C.L.,P2,38,0.14672587847118754,1141.28,45.52999999999997
