Constituent,N,Median_CVt,P05_CVt,P95_CVt,Ref_CVt,Pct_Bias
NPOC..mg.C.L.,2,0.7899435690935175,0.27577886892178693,1.3105336729366608,1.1686981686828242,-32.4082478897165
NPOC..mg.C.L.,3,0.9031272182159975,0.3930856773248047,1.4850118490354296,1.1686981686828242,-22.723655909047686
NPOC..mg.C.L.,4,1.0063399246768823,0.5325969503735973,1.5812307943641444,1.1686981686828242,-13.892230548194236
NPOC..mg.C.L.,5,1.0362111756864714,0.640613971501317,1.575964486349083,1.1686981686828242,-11.33628823476909
NPOC..mg.C.L.,7,1.0843324042294595,0.7393861968857023,1.5375863198946307,1.1686981686828242,-7.218781265692294
NPOC..mg.C.L.,10,1.116661267671488,0.8100649535582416,1.5147350137757523,1.1686981686828242,-4.452552626995568
NPOC..mg.C.L.,15,1.1387034831661231,0.8770563597266354,1.4549560065102887,1.1686981686828242,-2.5665040230623792
NPOC..mg.C.L.,20,1.1444464281128015,0.9169492060937473,1.4315613062212154,1.1686981686828242,-2.0751072620705373
NPOC..mg.C.L.,30,1.155730201813443,0.9621004929430546,1.3907059566176667,1.1686981686828242,-1.1096078711235307
NPOC..mg.C.L.,50,1.1625679138726792,1.0075508931140753,1.34730303577083,1.1686981686828242,-0.5245370425328918
TDN..mg.N.L.,2,0.4683393150108416,0.36902610913664763,0.5267310639609826,0.6857721810944858,-31.70628265156855
TDN..mg.N.L.,3,0.5350009133013323,0.4743521080085935,0.580623462386767,0.6857721810944858,-21.98562029047665
TDN..mg.N.L.,4,0.5680114618483076,0.5171073335615031,0.609392430150596,0.6857721810944858,-17.171988379323462
TDN..mg.N.L.,5,0.589780681673836,0.5447815075564509,0.6281870986282244,0.6857721810944858,-13.997578505947597
TDN..mg.N.L.,7,0.6191344140654151,0.5792746004839112,0.6535670516750571,0.6857721810944858,-9.71718726220673
TDN..mg.N.L.,10,0.6468983283164871,0.6116676684430048,0.6803499757607413,0.6857721810944858,-5.6686249237985145
TDN..mg.N.L.,15,0.6774652760296374,0.642002289255735,0.7128852623329155,0.6857721810944858,-1.211321382502086
TDN..mg.N.L.,20,0.6986609885621142,0.6636934239624837,0.7388771213888559,0.6857721810944858,1.8794590715327686
TDN..mg.N.L.,30,0.7312788985711751,0.6923791460271631,0.7775560563385497,0.6857721810944858,6.635836029986088
TDN..mg.N.L.,50,0.7745519641823178,0.7300973298692451,0.8315680644820744,0.6857721810944858,12.945958663143827
